id,s/c,question,e1_gold,e1_predict,e2_gold,e2_predict,type_sc,r1_gold,r1_predict,r2_gold,r2_predict,constraint
961,C,Whose mayors are affiliated with Christen-Democratisch en Vlaams?,christen-democratisch_en_vlaams,christen-democratisch_en_vlaams,,,type_true,affiliation,affiliation,leaderName,part,no
962,C,What company is the one which wrote the google web toolkit and PlayN?,google_web_toolkit,google_web_toolkit,playn,playn,type_true,author,author,author,parentCompany,no
963,C,Who fought in the battle at Tupelo Mississippi?,tupelo_mississippi,tupelo_mississippi,,,type_false,place,place,combatant,battle,yes
964,S,which movies have been published by Cinema International Corporation?,cinema_international_corporation,cinema_international_corporation,,,type_true,distributor,distributor,,,no
965,S,Count the number of characters in Batman Live?,batman_live,batman_live,,,type_true,characters,country,,,no
966,S,Did Stanlee write the Tales of Suspense?,tales_of_suspense,tales_of_suspense,stan_lee,stan_lee,type_true,writers,writer,,,no
967,C,Who is the head coach of the teams in Middlesbrough FC?,middlesbrough_f.c.,,,,type_true,club,team,manager,coach,no
968,S,Copley Medal has been awarded to which scientists?,copley_medal,copley_medal,,,type_true,awards,award,,,no
969,C,to which university did both the Stanford Cardinal and Gerald Reaven go?,stanford_cardinal,stanford_university,gerald_reaven,gerald_reaven,type_true,university,university,institution,education,no
970,C,Which american football team is owned by Mark davis and is located in O.co Colliseum ?,mark_davis_(american_football),mark_davis_(american_football),o.co_coliseum,o.co_coliseum,type_true,owner,owner,locationCity,locationCity,yes
971,C,How many books are written by the author who is famous for Novelas Ejemplares?,novelas_ejemplares,novelas_ejemplares,,,type_true,notableWork,notableWork,author,author,yes
972,S,To which city does Northeast Library belong?,northeast_library,northeast_library,,,type_true,city,city,,,no
973,S,Which comic characters were created by Paul Dini?,paul_dini,paul_dini,,,type_true,creators,creator,,,no
974,S,What developed EMMS?,emms,ems_(river),,,type_true,developer,programmingLanguage,,,no
975,S,Which hockey team is head coached by Bill Peters?,bill_peters_(ice_hockey),william_peters_(australian_politician),,,type_false,headCoach,manager,,,no
976,S,How many companies were started in the states?,united_states,,,,type_false,foundationPlace,foundationPlace,,,no
977,C,List the television shows one of whose distributor's divisions is Warner Bros. Animation.,warner_bros._animation,warner_bros._animation,,,type_true,divisions,division,distributor,editing,yes
978,C,Who has manufactured vehicles designed originally by NASA?,nasa,nasa,,,type_false,designCompany,manufacturer,manufacturer,manufacturer,yes
979,C,What subsequent work of Moondog Matinee has the composer of Motorpsycho Nitemare ?,motorpsycho_nitemare,motorpsycho_nitemare,moondog_matinee,moondog_matinee,type_true,composer,composer,subsequentWork,subsequentWork,no
980,S,Who is the narrator of The Incredible Hulk  1982 TV series ?,the_incredible_hulk_(1982_tv_series),,,,type_true,narrated,narrator,,,no
981,C,Who owns the company that made the Edsel Villager?,edsel_villager,edsel_villager,,,type_false,products,relatedMeanOfTransportation,parent,parentCompany,no
982,S,Giorgos Kaminis is the mayor of what?,giorgos_kaminis,giorgos_kaminis,,,type_true,mayor,mayor,,,no
983,S,Name the incumbent of Linda Jenness ?,linda_jenness,linda_jenness,,,type_true,incumbent,incumbent,,,no
984,C,Where did the members of judge advocate general corps study?,judge_advocate_general's_corps_united_states_army,judge_advocate_general's_corps,,,type_true,militaryRank,militaryBranch,almaMater,education,no
985,C,How many things are produced by companies located in Tehran?,tehran,iran,,,type_true,location,locatedInArea,product,manufacturer,no
986,C,Who was in the missions of Apollo 11 and Gemini 8?,apollo_11,apollo_11,gemini_8,gemini_8,type_true,mission,country,mission,country,no
987,C,Which ethinicity of  Riley Reid is the state of origin of Holmes Colbert?,riley_reid,riley_reid,holmes_colbert,holmes_colbert,type_true,ethnicity,ethnicity,stateOfOrigin,stateOfOrigin,no
988,S,Where was Girls (The Prodigy song)  recorded ?,girls_(the_prodigy_song),girls_(the_prodigy_song),,,type_true,recorded,recordedIn,,,no
989,S,Who are the scientists known for the Manhattan Project?,manhattan_project,manhattan_project,,,type_true,knownFor,knownFor,,,yes
990,C,What are the regions in which the distributor of Secrets and Lies serves ? ,secrets_and_lies_(u.s._tv_series),secrets_and_lies_(u.s._tv_series),,,type_true,distributor,distributor,regionServed,locationCity,no
991,C,Which is the common past team of the Charlie Justice (American football player) and Bobby Hoppe ?,charlie_justice_(american_football_player),,bobby_hoppe,bobby_hoppe,type_true,pastteams,debutTeam,pastteams,formerTeam,no
992,C,Which city council owns the Ted Williams tunnel and Leonard Memorial ridge?,ted_williams_tunnel,ted_williams_tunnel,leonard_p._zakim_bunker_hill_memorial_bridge,leonard_p._zakim_bunker_hill_memorial_bridge,type_true,owner,operatedBy,owner,significantProject,no
993,C,Whose relatives are Clan McDuck and Huey Dewey and Louie?,clan_mcduck,clan_mcduck,huey_dewey_and_louie,huey,type_true,relatives,relative,relatives,relative,no
994,S,In which city did The Ultimate Fighter : Team Rousey vs. Team Tate take place ?,the_ultimate_fighter:_team_rousey_vs._team_tate,,,,type_false,city,followingEvent,,,no
995,S,Muhammad Yunus has won how many awards?,muhammad_yunus,muhammad_yunus,,,type_true,award,award,,,no
996,C,How many people hold important positions alongwith Donna Shalala?,donna_shalala,,,,type_true,keyPerson,keyPerson,keyPeople,ground,no
997,C,Which currency can I use both in Kerguelen islands and French southern and antarctic lands?,french_southern_and_antarctic_lands,french_southern_and_antarctic_lands,kerguelen_islands,kerguelen_islands,type_true,currency,currency,currency,currency,no
998,S,Is Brazilian jiu-jitsu the trainer of Nick Diaz?,nick_diaz,nick_diaz,brazilian_jiu-jitsu,brazilian_jiu-jitsu,type_true,trainer,trainer,,,no
999,C,What is the total number of other combatant of the military conflicts whose combatant is Choctaw?,choctaw,choctaw,,,type_true,combatant,related,combatant,field,no
